proposal_id,triad_id,historian_name,historian_position,research_question,abstract,selected_sources,text_source_ids,image_source_ids,n_text_sources,n_image_sources,created_at
11,4,Gabrielle M. Spiegel,2,"The shift in the modes of communication and representation in the mid-20th century, as evidenced by the juxtaposition of formal procurement processes and informal media portrayals, reflects broader socio-political dynamics and anxieties similar to those observed in medieval historiographical practices.","The 1960 St. Croix Avis excerpt and the 1935 Washington Daily News image highlight the changing nature of textual production and its role in structuring and reflecting political realities. By examining these sources through the lens of postmodern historiography, one can discern how the modern bureaucratic language of procurement and the populist rhetoric of media critique mirror the medieval use of vernacular prose to navigate societal shifts. These texts function as both artistic constructs and reflections of their socio-political contexts, revealing the enduring role of historiography in legitimizing and contesting political authority.","Source 1, Source 3","1d2ac478-7315-4dfa-a30c-a0505e1591b7,b53d6d68-3043-4592-8431-7922a4fb7d30,2828e79b-adbe-49fd-be3b-bfe0de184d15","1a9dd8e4-dded-4898-8bdc-875b306cbf00,af1b1364-88e4-495a-986f-de728d3f5d71",3,2,2026-03-13 15:38:44.786448
12,4,Claude S. Fischer,3,"The integration of telecommunication technologies such as the telephone played a pivotal role in the social and community dynamics of early 20th-century America, influencing not only personal interactions but also broader social movements and political discourse.","The telephone's introduction and subsequent adoption in early 20th-century America significantly impacted social structures and community engagement. As evidenced by social and political developments chronicled in periodicals of the time, telecommunications facilitated the dissemination of political ideologies and community organization, particularly in urban centers. The Milwaukee Leader and The Minneapolis Journal highlight the period's vibrant social discourse, reflecting how telecommunication technologies were instrumental in fostering both local and national community connectivity. These developments underscore the telephone's role as a catalyst in modern communication networks, shaping societal interactions and political landscapes.","Source 1, Source 3","c1ed7aef-5229-4315-9d56-5b6b7870c885,a28d1d12-831d-424e-aff9-60c3bd2cd450,558070e3-9675-4e45-9338-9fe83842e14e","f6d6de91-605f-4fe9-8760-7b6a22b11bfc,8834595f-15b7-4f81-a6ab-fb46cf3af4c8",3,2,2026-03-13 15:38:44.788126
13,5,E.F.K. Koerner,1,"The role of newspapers in mid-20th century America served not only as a means of information dissemination but also as a reflection of socio-political dynamics, including military, labor, and local governance issues.","Newspapers from the mid-20th century, such as the Newport navalog and The Washington daily news, provide insights into the socio-political fabric of the United States during this era. The Newport navalog illustrates the interconnectedness of military diplomacy and local military base activities, reflecting broader geopolitical tensions and alliances, particularly with Taiwan (Source 1). Meanwhile, The Washington daily news highlights domestic social policy debates, such as child labor laws, revealing the intricate balance between national advocacy groups and local legislative processes (Source 2). These sources underscore the newspaper's role as a medium for public engagement and a record of contemporaneous societal concerns.","Source 1, Source 2","4b5c776c-7cbb-48dd-84ff-c2f200db7e7b,ebafe91b-2dd0-48aa-a0c7-99c047895b27,08d5d511-b17d-4143-8949-ae629289583f","03eee316-9f6a-4f3d-b605-2f0d247e4fe6,d3587914-e5ac-4219-b968-f1df91239f01",3,2,2026-03-13 15:39:14.820184
14,5,David F. Noble,2,"The Lake Mohonk Conference of the Friends of the Indians in 1904 and the Jasmine Revolution in Tunisia in 2011 both represent pivotal moments of reformative discourse and action that were shaped by the interplay between institutional authority and emergent voices, highlighting the enduring tension between established power structures and grassroots movements.","The Lake Mohonk Conference of 1904 and the Jasmine Revolution in Tunisia in 2011 illustrate significant historical junctures where efforts to address systemic inequities were foregrounded. The former, held within the auspices of the United States Indian School and attended by notable figures, served as a platform for discussing policies affecting Indigenous peoples, reflecting the era's paternalistic approach to reform. In contrast, the Jasmine Revolution epitomized a spontaneous, digitally-fueled uprising that challenged authoritarian rule, emphasizing the potential of decentralized, grassroots movements to alter entrenched political landscapes. Both events underscore the complex dynamics of power, reform, and resistance in differing contexts and eras.","Source 1, Source 3","1638c06e-b0ca-4dca-b888-04b551cf6814,07bc6583-1234-42ba-9e3c-8e8fd746a054,43a83a54-069d-4da1-aac2-99452f6abda8","04d450d5-5156-4d38-bae2-87d74b99e81f,8834595f-15b7-4f81-a6ab-fb46cf3af4c8",3,2,2026-03-13 15:39:14.822298
15,5,Arjun Appadurai,3,"The circulation and exchange of media, whether in the form of newspapers or entertainment products, play a crucial role in shaping cultural identity and social relations in different contexts.","The artifacts and media from the early 20th century, such as newspapers and literary works, provide insights into the cultural and social dynamics of the period. For instance, the 1900 edition of The Chickasha Daily Express reflects the socio-political priorities of a community in Indian Territory, highlighting localized concerns amidst broader national issues. Similarly, the 1932 edition of The Producers News from Montana captures the tensions and alliances within agrarian communities during the economic hardships of the Great Depression. By examining these documents, we can trace how media served as a medium of cultural exchange and social cohesion, influencing how communities navigated their social worlds.","Source 1, Source 2","3e4012d4-f5fb-4b79-8ece-5d886710a265,f0fe4ad4-2fc4-4814-bd3b-26131a1934f4,4e520383-825d-4383-bd30-86ab03931dd2","ea9d7245-e053-4fa8-83c6-664214729c83,992f0755-7f69-4d3d-8959-b88b9a4a6032",3,2,2026-03-13 15:39:14.823871
16,6,Nancy C. M. Hartsock,1,"The intersection of labor, gender, and race can be critically examined through the lenses of capitalist expansion and exclusionary practices in early 20th century America, which reveals how phallocratic and class structures were reinforced and contested.","The early 20th century in America witnessed the entrenchment of capitalist enterprises such as J.C. Penney, which served as a microcosm of broader economic and gender dynamics, illustrating the prioritization of male-dominated labor structures. Concurrently, the Chinese Exclusion Case File for Lee San highlights the racialized dimensions of labor exclusion, where non-European immigrants faced systemic barriers. By examining these sources, we can uncover the underlying patriarchal and classist mechanisms that not only shaped economic practices but also maintained racial and gender hierarchies, offering a feminist historical materialist perspective on how these structures were negotiated and resisted.","Source 1, Source 3","0be3fad4-9d00-4653-8215-c32723d3e329,236e6ee8-707b-430b-9d72-478994eab5f9,b24a5c6a-d511-4b5e-8cf0-d07c413e6406","69b4fab1-0e1c-455f-96c9-899855d08ff3,d9d15208-bdef-48f2-b7f1-1b58f027482f",3,2,2026-03-13 15:39:38.327505
17,6,E.F.K. Koerner,2,"The archival data from the Internet Archive provides a lens through which we can examine the evolution of digital documentation practices and their implications for the historiography of modern socio-political movements, specifically focusing on the 2011 Egyptian Revolution.","The Internet Archive's collection of crawl data and web archives offers a unique opportunity to explore the historiographic methodologies applicable to digital sources. This study investigates how the documentation of the 2011 Egyptian Revolution through digital archives at the American University in Cairo reflects broader trends in the archiving of socio-political events. By analyzing the metadata and structure of these digital archives, we can trace the shift from traditional archival sources to digital platforms, elucidating the impact of such transitions on the preservation and interpretation of historical narratives.","Source 2, Source 3","a1ef2e44-c0d2-4cb3-98db-ee1c1e8d24bd,061590f2-ebda-4bfe-b6ab-b1a31f607196,c2ef4629-6747-4196-ba60-08c3ae5ed9a0","d3587914-e5ac-4219-b968-f1df91239f01,7b9ca80a-396c-4fc1-820d-2a586deb5e8f",3,2,2026-03-13 15:39:38.328896
18,6,David F. Noble,3,The portrayal of different ethnic and cultural groups in historical newspapers reflects broader socio-political attitudes and transformations within American society during the late 19th and mid-20th centuries.,"The historical newspaper excerpts from the Indian Chieftain and The Miami Times reveal distinct narratives surrounding ethnic and cultural identities in the United States. The 1898 Indian Chieftain, with its focus on Spain's historical empire, indirectly highlights the contemporary status of Indigenous peoples in the Indian Territory, suggesting an underlying narrative of colonialism and conquest. Meanwhile, the 1957 issue of The Miami Times, through its African American editorial team, represents an emerging voice of empowerment and change amidst the civil rights movement. Together, these sources illustrate how newspapers have served as platforms for both reinforcing and challenging dominant socio-political narratives across different periods in American history.","Source 1, Source 3","25d025fc-69b6-40a0-85b3-5315a68abc9c,56bb4871-8294-4cba-9b49-f18edded9af4,44158bbb-ad64-4109-b394-0a2e8082004b","a64a1e27-5031-40c1-a085-9f94d0a938ed,04d450d5-5156-4d38-bae2-87d74b99e81f",3,2,2026-03-13 15:39:38.331195
19,7,Arnaldo Momigliano,1,The evolution of public commemorative practices in the United States reflects broader socio-political changes and cultural integration from the late 19th to mid-20th century.,"The examination of public commemorative events, such as those reported in local newspapers, offers insights into the socio-political dynamics and cultural shifts within American society. By analyzing the 1881 Newberry Herald's advertisement format and the 1963 Newport Navalog's coverage of Memorial Day observances, one can trace how communal celebrations and public memorials have adapted to reflect the evolving national identity and military significance. These sources reveal the integration of local and national narratives in public memory, highlighting the role of military and civic ceremonies in shaping collective historical consciousness.","Source 1, Source 3","7ee605ce-6823-4b5d-8462-8a63d0131492,f1618dc1-de91-4aea-b0ee-303ee6e278a4,611bc4f4-1284-4767-86c0-55c899dc7a16","04d450d5-5156-4d38-bae2-87d74b99e81f,598fd2e2-1f38-4a74-9a19-b92f587a7c7a",3,2,2026-03-13 15:39:59.422385
20,7,David F. Noble,2,"The dissemination of socialist literature and ideas in early 20th-century America was driven by grassroots efforts from workers' organizations, which significantly influenced local and regional publications.","The role of workers in spreading socialist ideology in the United States during the early 20th century was pivotal, as evidenced by local newspapers like ""The Toiler."" This publication served as a vehicle for promoting socialist literature and ideas among working-class communities, reflecting a broader grassroots movement. The active involvement of workers in both reading and distributing socialist materials underscores the agency they possessed in shaping the political landscape of their regions. This dynamic is crucial for understanding the intricate relationship between local media, labor movements, and political ideologies during this period.","Source 2, Source 1","54b6b669-3482-445f-ae4e-ffc8f0182a41,27109f1b-8fcf-4dce-916b-cbbb91f0cd01,c012381e-c0e6-447f-9e9c-5a045258f845","fbc54c2b-ab2f-4d26-895b-b6ad8a982968,129dd865-ed24-468b-a764-9477fa2a8c5e",3,2,2026-03-13 15:39:59.423887
21,7,Claude S. Fischer,3,"The integration of communication technologies, such as newspapers and telephony, played a crucial role in shaping public discourse and social relations in the United States during the early 20th century, particularly in the context of labor movements and international relations.","The examination of primary sources from the early 20th century reveals how communication technologies influenced social and political dynamics in America. The 1931 article from The Daily Worker highlights the role of print media in disseminating information and rallying support during labor strikes, illustrating the impact of communication on labor movements. Similarly, the 1907 article from the Rock Island Argus reflects on the tension between the United States and Japan, showcasing how newspapers shaped public perception of international relations. These sources demonstrate the significance of media in fostering community engagement and influencing public opinion, paralleling the transformative effects of the telephone in community life documented in previous research.","Source 1, Source 3","1d59770e-3961-4cb6-9eb4-407ccdf4de17,c896aacd-bc34-4e67-8d65-199911823fa9,cc8f5b65-450d-48ba-8da6-c3c8e115c897","f6d6de91-605f-4fe9-8760-7b6a22b11bfc,88e43611-38e3-4c47-bd69-9edbf88a0fc1",3,2,2026-03-13 15:39:59.425647
22,8,E.F.K. Koerner,1,The representation of historical events and natural history in 19th-century American newspapers and journals reflects the contemporaneous interests and epistemological frameworks guiding the dissemination of information.,"The late 19th-century American print media, as evidenced by the ""Reporter and Farmer"" and ""Boon's Lick Times,"" illustrates the period's engagement with both grand historical narratives, such as the Battle of Manila, and more quotidian matters, like local business practices. Meanwhile, the ""Journal"" from 1884-1885 provides insight into the scientific practices of the time, particularly in ornithology and mammalogy, indicating a burgeoning interest in cataloging and understanding the natural world. These sources collectively underscore a dual focus on both global events and local scientific endeavors, revealing an interplay between public curiosity and the growing institutionalization of scientific inquiry.","Source 1, Source 3","fdd33243-e9d8-4fc8-ad45-5c4fe1789ab9,c9c9b426-7f94-4981-a7c1-9791a27f7497,52401f5f-9be3-43e2-ab23-03de492d8c7a","fbdf1570-1962-4a7f-bae4-d18d4062429d,924e2177-458b-4753-b5ea-318e1fcf9e44",3,2,2026-03-13 15:40:19.084438
23,8,David F. Noble,2,"The interplay between labor movements and legislative efforts during early 20th-century America was significantly shaped by the socio-political climate, which was heavily influenced by international tensions and domestic economic challenges.","The early 20th-century American landscape was marked by a complex relationship between labor movements and legislative initiatives, as evidenced by the campaigns for unemployment insurance and immigration law amendments. The Daily Worker's call for unemployment insurance reflects the urgency of labor movements amid economic strife and international disarmament talks. Concurrently, the Evening Star's coverage of immigration legislation reveals a political focus on controlling foreign influence, indicative of broader socio-political anxieties. This period illustrates how domestic labor and legislative actions were interwoven with global events and national security concerns, shaping the trajectory of American labor policy.","Source 1, Source 3","2278e3bb-5157-4ddd-b2f2-11bdd23c23bf,dbc4a2c6-eaa6-411b-9991-875869708270,42991e86-3121-4ef4-8721-31e40ba189f8","e139d9ed-2c2f-4db4-a08a-9895c6a16247,d7c97218-177a-4ec3-983c-083c5db8ba7b",3,2,2026-03-13 15:40:19.086127
24,8,Claude S. Fischer,3,"The adoption and integration of new communication technologies, such as the telephone, significantly influenced the dissemination of information and the shaping of public discourse during pivotal historical events, such as wars and cultural exchanges, in early 20th-century America.","The early 20th century witnessed significant changes in how information was disseminated and consumed, largely due to the integration of technologies like the telephone into everyday life. This period, marked by global conflicts and cultural exchanges, saw technologies facilitating faster and more widespread communication. Newspapers played a crucial role in distributing information, as evidenced by articles that highlight naval operations and cultural insights, indicating how communication technology helped shape public discourse and understanding of global events. The telephone likely supported this by enabling quicker coordination and information sharing among journalists and sources.","Source 1, Source 3","eb769d0c-cd10-4ead-ba5b-b053d35daff9,cce140a7-4f1b-44be-ae44-30b15d04c52f,b0a3f2bb-8d3a-4783-868f-331031a44eac","d3587914-e5ac-4219-b968-f1df91239f01,3b38e624-7b66-4d91-9626-68e32df14722",3,2,2026-03-13 15:40:19.087548
25,9,F. M. L. Thompson,1,"The dissemination and availability of imported goods and new technologies in the late 19th and early 20th centuries played a crucial role in shaping regional communities and social institutions in the United States and its territories, such as Hawaii.","The late 19th and early 20th centuries were marked by significant shifts in the availability and distribution of goods and technologies, which influenced societal structures in diverse locales. An examination of newspaper advertisements from Honolulu in 1898 reveals the influx of high-quality musical instruments and European goods, indicating the integration of global trade networks into local economies and cultural practices. Similarly, the Washington Times in 1923 highlights the prosperity of the American Telegraph and Telephone Company, reflecting the burgeoning role of communication technologies in reshaping societal interactions and economic landscapes. These examples illustrate the broader societal transformations prompted by access to imported goods and new technologies.","Source 2, Source 3","3b6836a8-7a7e-49db-930d-9b6268cd78ab,be6681a0-5459-47b2-b7ab-3508bbc95a63,a4be6c36-3c20-4cad-a4d4-40e99f468824","f694ba38-b396-4ca9-b780-2548f16b8983,3b38e624-7b66-4d91-9626-68e32df14722",3,2,2026-03-13 15:40:39.586149
26,9,E.F.K. Koerner,2,"The migration patterns of the Paxton family, as documented in early 20th-century genealogical research, offer critical insights into the broader linguistic and cultural transmission processes across the Atlantic and within the United States during the colonial and post-colonial periods.","The genealogical account of the Paxton family, tracing their origins from Scotland through England, Ireland, and finally to America, provides a valuable case study for examining the transmission and evolution of language and cultural practices across regions. By analyzing the Paxton family's migration, we can explore how linguistic notions and traditions were carried and transformed through successive generations and geographical relocations. This study contributes to a broader understanding of the historical dynamics of linguistic adaptation and preservation within immigrant communities in the United States, particularly during the formative years of nation-building.","Source 2, Source 3","44f5ad9c-66f7-4999-aba9-e7219a5c5bc2,32919308-dc0f-455d-b967-8465bc49878b,b9cc9473-c5bc-49e2-90cc-6629469c76e4","d9d15208-bdef-48f2-b7f1-1b58f027482f,ba611437-b8e1-4ce3-8244-e19c9ed4d872",3,2,2026-03-13 15:40:39.587518
27,9,David F. Noble,3,"The political and ideological tensions of the early to mid-20th century in the United States, as reflected in immigrant and labor newspapers, reveal a complex interplay between local activism and global ideological movements, highlighting the role of media in shaping public opinion and political alignments.","The primary sources from the early to mid-20th century demonstrate how immigrant and labor newspapers served as critical platforms for disseminating political ideologies and rallying support for various causes. The Românul American in Detroit and The Daily Worker in Chicago provide insights into the Romanian-American community's engagement with global peace efforts and the American labor movement's response to Soviet politics, respectively. These newspapers reflect the broader socio-political dynamics of the time, illustrating how localized ethnic and labor communities negotiated their identities and political stances amidst global ideological currents, particularly communism and anti-communism.","Source 1, Source 2","d6df3b8a-9e0f-46c6-9f39-049c6ea33f20,16a4f48a-47f0-4a03-a7d2-30920a422231,b52c8808-f052-4494-bd8f-8dad7457d5f7","c79ef032-903d-4adf-b691-1e1f6bacab5a,f7e4a1e2-eacb-41d0-beb8-5bcf4e7fa5d5",3,2,2026-03-13 15:40:39.588628
28,10,John Marincola,1,The representation and documentation of marginalized groups in historical records reveal both the limitations and the biases inherent in the historiographical practices of the past.,"The Chinese Exclusion Case File for Lee San (Source 2) and the Evening Star newspaper excerpt from April 29, 1942 (Source 3) serve as poignant examples of how historiographical practices have historically marginalized certain groups. The Chinese Exclusion Case File illuminates the systemic biases embedded in legal documents, reflecting broader societal attitudes towards Chinese immigrants during the exclusion era. Similarly, the Evening Star article, amidst its primary focus on a missing airliner, subtly encapsulates the wartime context and societal priorities, marginalizing civilian tragedies. By examining these sources through the lens of traditional historiography, we can discern how the narrative structures and documentary practices of the time both reflect and reinforce prevailing biases, offering insights into the historiographical limits of the period.","Source 2, Source 3","0045c07a-01bc-4405-8463-0a44e500c65f,b24a5c6a-d511-4b5e-8cf0-d07c413e6406,090257ff-58f0-4a1e-a82f-b8c488701f38","2cfda3be-29fb-42b0-ae97-369a001b50de,fbdf1570-1962-4a7f-bae4-d18d4062429d",3,2,2026-03-13 15:41:01.585992
29,10,F. M. L. Thompson,2,"The evolution of social institutions in the 20th century reflects a significant interplay between military service and technological advancements, influencing gender roles and societal structures.","The integration of women into military roles, as evidenced by Israeli women serving as military instructors in 1957, marks a pivotal shift in gender roles within social institutions. Concurrently, the rise of multinational corporations such as IBM underscores the transformative impact of technological advancements on societal structures. These developments suggest a correlation between military service and technological progress in reshaping social institutions and gender dynamics during the mid-20th century.","Source 1, Source 2","22e22590-1bdb-4226-864a-ae3adacef418,aa4c6fea-41d6-47ad-9c32-060374355ead,a8808405-ba4f-4ca1-a70c-83dd2550f3d6","fbc54c2b-ab2f-4d26-895b-b6ad8a982968,f694ba38-b396-4ca9-b780-2548f16b8983",3,2,2026-03-13 15:41:01.587714
30,10,David F. Noble,3,The evolution of American industrial and military narratives in local newspapers reflects a broader societal shift towards industrialization and imperialism in the late 19th and early 20th centuries.,"The late 19th and early 20th centuries were marked by significant changes in American society, influenced heavily by industrialization and imperialism. This period saw local newspapers, such as The weekly Ottumwa courier and The Bourbon News, documenting these shifts through public discourse. The weekly Ottumwa courier illustrates the melancholic end of eras, metaphorically paralleling the rise of new industrial and political powers. Concurrently, The Bourbon News celebrates military achievements in the Spanish-American War, underscoring a nationalistic and expansionist sentiment. Together, these narratives in local newspapers highlight a critical transition in American identity and priorities, as the nation embraced industrial growth and global influence.","Source 1, Source 2","933d7d9f-6aad-4764-8305-e88a7de46489,bad1ecee-ce38-47d3-bca6-39fc4aa5fd5a,a5a8eee1-d855-4f40-9dad-01af1f658da6","88b99851-32e2-48b8-8947-842848db3caf,9ccc300c-3f01-4a32-a29d-49c31fc67048",3,2,2026-03-13 15:41:01.588943
